split,question_id,dlen,abs_dlen,activation_depth40,think_logprob,token_length
test,bb_date_understanding_t_001,219.0,219.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,-84.0,84.0,1.0,0.0,0.0
test,bb_date_understanding_t_001,-440.0,440.0,1.0,1.0,0.0
test,bb_date_understanding_t_001,-625.0,625.0,1.0,0.0,0.0
test,bb_date_understanding_t_001,1157.0,1157.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,935.0,935.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,759.0,759.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,619.0,619.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,316.0,316.0,1.0,0.0,1.0
test,bb_date_understanding_t_001,-40.0,40.0,1.0,1.0,0.0
test,bb_date_understanding_t_001,-225.0,225.0,1.0,0.0,0.0
test,bb_date_understanding_t_001,1170.0,1170.0,1.0,0.0,1.0
test,bb_date_understanding_t_001,948.0,948.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,772.0,772.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,632.0,632.0,1.0,0.0,1.0
test,bb_date_understanding_t_001,329.0,329.0,1.0,0.0,1.0
test,bb_date_understanding_t_001,-27.0,27.0,1.0,0.0,0.0
test,bb_date_understanding_t_001,-212.0,212.0,1.0,0.0,0.0
test,bb_date_understanding_t_001,1622.0,1622.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,1400.0,1400.0,0.0,1.0,1.0
test,bb_date_understanding_t_001,1224.0,1224.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,1084.0,1084.0,0.0,0.0,1.0
test,bb_date_understanding_t_001,781.0,781.0,1.0,0.0,1.0
test,bb_date_understanding_t_001,425.0,425.0,0.0,0.0,1.0
test,bb_date_understanding_t_001,240.0,240.0,0.0,0.0,1.0
test,bb_date_understanding_t_001,1625.0,1625.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,1403.0,1403.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,1227.0,1227.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,1087.0,1087.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,784.0,784.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,428.0,428.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,243.0,243.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,1734.0,1734.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,1512.0,1512.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,1336.0,1336.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,1196.0,1196.0,1.0,0.0,1.0
test,bb_date_understanding_t_001,893.0,893.0,1.0,0.0,1.0
test,bb_date_understanding_t_001,537.0,537.0,1.0,0.0,1.0
test,bb_date_understanding_t_001,352.0,352.0,1.0,0.0,1.0
test,bb_date_understanding_t_000,1590.0,1590.0,0.0,1.0,1.0
test,bb_date_understanding_t_000,2089.0,2089.0,0.0,0.0,1.0
test,gpqa_chem_t_003,-276.0,276.0,1.0,1.0,0.0
test,gpqa_chem_t_003,-944.0,944.0,1.0,1.0,0.0
test,gpqa_chem_t_003,-95.0,95.0,1.0,1.0,0.0
test,gpqa_chem_t_003,-763.0,763.0,1.0,1.0,0.0
test,gpqa_chem_t_010,55.0,55.0,1.0,1.0,1.0
test,gpqa_chem_t_010,-1149.0,1149.0,1.0,1.0,0.0
test,gpqa_chem_t_010,702.0,702.0,1.0,1.0,1.0
test,gpqa_chem_t_010,-502.0,502.0,0.0,1.0,0.0
val,bb_navigate_v_001,350.0,350.0,1.0,1.0,1.0
val,bb_temporal_sequences_v_000,-132.0,132.0,1.0,1.0,0.0
val,bb_tracking_shuffled_objects_five_objects_v_001,128.0,128.0,1.0,1.0,1.0
val,bb_tracking_shuffled_objects_five_objects_v_001,80.0,80.0,1.0,1.0,1.0
val,bb_tracking_shuffled_objects_five_objects_v_001,-302.0,302.0,1.0,1.0,0.0
val,bb_tracking_shuffled_objects_five_objects_v_001,-421.0,421.0,1.0,1.0,0.0
val,bb_tracking_shuffled_objects_five_objects_v_001,168.0,168.0,1.0,0.0,1.0
val,bb_tracking_shuffled_objects_five_objects_v_001,120.0,120.0,0.0,0.0,1.0
val,bb_tracking_shuffled_objects_five_objects_v_001,-262.0,262.0,0.0,0.0,0.0
val,bb_tracking_shuffled_objects_five_objects_v_001,-381.0,381.0,1.0,0.0,0.0
val,bb_tracking_shuffled_objects_five_objects_v_001,280.0,280.0,1.0,0.0,1.0
val,bb_tracking_shuffled_objects_five_objects_v_001,232.0,232.0,0.0,0.0,1.0
val,bb_tracking_shuffled_objects_five_objects_v_001,-150.0,150.0,0.0,0.0,0.0
val,bb_tracking_shuffled_objects_five_objects_v_001,-269.0,269.0,1.0,0.0,0.0
val,bb_reasoning_about_colored_objects_v_002,152.0,152.0,1.0,1.0,1.0
val,bb_reasoning_about_colored_objects_v_002,57.0,57.0,1.0,1.0,1.0
val,bb_reasoning_about_colored_objects_v_002,227.0,227.0,1.0,1.0,1.0
val,bb_reasoning_about_colored_objects_v_002,132.0,132.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,22.0,22.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,-7.0,7.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_001,-32.0,32.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_001,-54.0,54.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_001,-70.0,70.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_001,-76.0,76.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_001,-157.0,157.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_001,-626.0,626.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_001,31.0,31.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,2.0,2.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,-23.0,23.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_001,-45.0,45.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_001,-61.0,61.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_001,-67.0,67.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_001,-148.0,148.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_001,-617.0,617.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_001,174.0,174.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,145.0,145.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,120.0,120.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,98.0,98.0,1.0,0.0,1.0
val,bb_logical_deduction_five_objects_v_001,82.0,82.0,1.0,0.0,1.0
val,bb_logical_deduction_five_objects_v_001,76.0,76.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,-5.0,5.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_001,-474.0,474.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_001,317.0,317.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,288.0,288.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,263.0,263.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,241.0,241.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,225.0,225.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,219.0,219.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,138.0,138.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,-331.0,331.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_001,449.0,449.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,420.0,420.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,395.0,395.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,373.0,373.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,357.0,357.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,351.0,351.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,270.0,270.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,-199.0,199.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_001,514.0,514.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,485.0,485.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,460.0,460.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,438.0,438.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,422.0,422.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,416.0,416.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,335.0,335.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_001,-134.0,134.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_001,953.0,953.0,1.0,0.0,1.0
val,bb_logical_deduction_five_objects_v_001,924.0,924.0,1.0,0.0,1.0
val,bb_logical_deduction_five_objects_v_001,899.0,899.0,1.0,0.0,1.0
val,bb_logical_deduction_five_objects_v_001,877.0,877.0,1.0,0.0,1.0
val,bb_logical_deduction_five_objects_v_001,861.0,861.0,1.0,0.0,1.0
val,bb_logical_deduction_five_objects_v_001,855.0,855.0,0.0,0.0,1.0
val,bb_logical_deduction_five_objects_v_001,774.0,774.0,1.0,0.0,1.0
val,bb_logical_deduction_five_objects_v_001,305.0,305.0,1.0,0.0,1.0
val,bb_reasoning_about_colored_objects_v_003,262.0,262.0,1.0,1.0,1.0
val,bb_reasoning_about_colored_objects_v_003,226.0,226.0,1.0,1.0,1.0
val,bb_reasoning_about_colored_objects_v_003,425.0,425.0,1.0,1.0,1.0
val,bb_reasoning_about_colored_objects_v_003,389.0,389.0,1.0,1.0,1.0
val,bb_temporal_sequences_v_004,-325.0,325.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_002,-59.0,59.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_002,-116.0,116.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_002,-407.0,407.0,1.0,1.0,0.0
val,bb_logical_deduction_five_objects_v_002,966.0,966.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_002,909.0,909.0,1.0,1.0,1.0
val,bb_logical_deduction_five_objects_v_002,618.0,618.0,1.0,1.0,1.0
val,bb_navigate_v_000,954.0,954.0,1.0,0.0,1.0
val,bb_navigate_v_000,611.0,611.0,0.0,0.0,1.0
val,bb_navigate_v_000,104.0,104.0,1.0,0.0,1.0
val,bb_navigate_v_000,1850.0,1850.0,1.0,0.0,1.0
val,bb_navigate_v_000,1507.0,1507.0,1.0,0.0,1.0
val,bb_navigate_v_000,1000.0,1000.0,1.0,0.0,1.0
val,bb_tracking_shuffled_objects_five_objects_v_000,161.0,161.0,1.0,1.0,1.0
val,bb_tracking_shuffled_objects_five_objects_v_000,82.0,82.0,1.0,1.0,1.0
val,bb_tracking_shuffled_objects_five_objects_v_000,492.0,492.0,1.0,1.0,1.0
val,bb_tracking_shuffled_objects_five_objects_v_000,413.0,413.0,1.0,1.0,1.0
val,gpqa_chem_v_014,981.0,981.0,0.0,0.0,1.0
val,gpqa_chem_v_014,-607.0,607.0,1.0,0.0,0.0
